"Location Name","Location History ID","Y Coordinate","X Coordinate"
"Canandaigua Lake Shoreline","0704CAN0286_3679","-77.3267699999987","42.7577999999993"
"Canandaigua Lake Shoreline","0704CAN0286_3681","-77.2718299999987","42.8756599999993"
"Canandaigua Lake Shoreline","0704CAN0286_3682","-77.25699407","42.836428"
"Canandaigua Lake Shoreline","0704CAN0286_3683","-77.25647543","42.833945"
"Canandaigua Lake Shoreline","0704CAN0286_3684","-77.26311111","42.811275"
"Canandaigua Lake Shoreline","0704CAN0286_3685","-77.2744945","42.793002"
"Canandaigua Lake Centroid","0704CAN0286_C","-77.305099","42.778"
"Canandaigua Lake Zone 50","0704CAN0286_3650","-77.263694","42.812139"
"Canandaigua Lake Zone 51","0704CAN0286_3651","-77.27195","42.79618"
"Canandaigua Lake Zone 52","0704CAN0286_3652","-77.2738","42.79344"
"Canandaigua Lake Zone 54","0704CAN0286_3654","-77.28099","42.78664"
"Canandaigua Lake Zone 55","0704CAN0286_3655","-77.29928","42.76844"
"Canandaigua Lake Zone 56","0704CAN0286_3656","-77.31446","42.74559"
"Canandaigua Lake Zone 57","0704CAN0286_3657","-77.32748","42.73219"
"Canandaigua Lake Zone 58","0704CAN0286_3658","-77.32674","42.72485"
"Canandaigua Lake Zone 59","0704CAN0286_3659","-77.32766","42.72317"
"Canandaigua Lake Zone 60","0704CAN0286_3660","-77.36342","42.68048"
"Canandaigua Lake Zone 62","0704CAN0286_3662","-77.28525","42.82111"
"Canandaigua Lake Zone 63","0704CAN0286_3663","-77.28391","42.8252"
"Canandaigua Lake Zone 65","0704CAN0286_3665","-77.28264","42.83049"
"Zone 10","0704CAN0286_3610","-77.347231","42.693373"
"Canandaigua Lake Zone 68","0704CAN0286_3668","-77.2726","42.87252"
"Canandaigua Lake Zone 69","0704CAN0286_3669","-77.26866","42.87527"
"Canandaigua Lake Csl2 South","0704CAN0286_CSL2","-77.344","42.7206"
"Canandaigua Lake Dh","0704CAN0286_DH","-77.2957859840964","42.7939847053893"
"Canandaigua Lake","0704CAN0286_ILC-1","-77.2693","42.8449"
"Canandaigua Lake Shoreline","0704CAN0286_3686","-77.27442546","42.79293"
"Canandaigua Lake Shoreline","0704CAN0286_3688","-77.29213","42.77723"
"Canandaigua Lake Shoreline","0704CAN0286_3690","-77.3130887","42.782147"
"Canandaigua Lake Shoreline","0704CAN0286_3695","-77.2819611","42.835062"
"Canandaigua Yacht Club","0704CAN0286_BEACH_1","-77.279027","42.857337"
"Deep Run Beach","0704CAN0286_BEACH_2","-77.259646","42.821132"
"Kershaw Park","0704CAN0286_BEACH_3","-77.264641","42.874982"
"Onanda Park","0704CAN0286_BEACH_5","-77.31251","42.782299"
"Canandaigua Lake","0704CAN0286_ILC-1E","-77.262","42.849"
"Canandaigua Lake","0704CAN0286_ILC-1W","-77.2784","42.844"
"Canandaigua Lake","0704CAN0286_ILC-2","-77.2682","42.8535"
"Canandaigua Lake","0704CAN0286_ILC-3","-77.2674","42.862"
"Canandaigua Lake","0704CAN0286_ILC-4","-77.2679","42.8711"
"Canandaigua Lake","0704CAN0286_ILC-4E","-77.261","42.87"
"Canandaigua Lake","0704CAN0286_ILC-4W","-77.271","42.871"
"Canandaigua Lake","0704CAN0286_ILC-A","-77.2705","42.834"
"Canandaigua Lake","0704CAN0286_ILC-B","-77.2697","42.839"
"Canandaigua Lake","0704CAN0286_ILC-C","-77.2687","42.8493"
"Canandaigua Lake","0704CAN0286_ILC-D","-77.2679","42.8574"
"Canandaigua Lake","0704CAN0286_ILC-E","-77.2672","42.8661"
